X,Y,OBJECTID,Precinct,Location,Address,Proposal,status,RetireStatus,FeatureID
-84.7690763538977,33.5789383117467,611,CH05,Chattahoochee Hills City Hall,6505 Rico Rd,13/14,approved,active,
-84.4719472466768,33.6376060829882,617,CP051,Camp Truitt Senior Center,4320 Herschel Rd,14/14,approved,active,
-84.4719472466768,33.6376060829882,618,CP052,Camp Truitt Senior Center,4320 Herschel Rd,14/14,approved,active,
-84.4719472466768,33.6376060829882,619,CP053,Camp Truitt Senior Center,4320 Herschel Rd,14/14,approved,active,
-84.4719472466768,33.6376060829882,620,CP05B,Camp Truitt Senior Center,4320 Herschel Rd,14/14,approved,active,
-84.5823615079711,33.5641938236838,622,FA01B,First Baptist Church of Fairburn,23 Malone St SE,16/14 ,approved,active,
-84.1829439274097,34.0348860750364,623,JC07,Wilson Creek Elementary Sch,6115 Wilson Rd,17/14 ,approved,active,
-84.2699781873793,34.0292750321203,626,JC16,Prince Of Peace Lutheran Church,10250 Haynes Bridge Road,"20/14, 32/15",approved,active,
-84.5170199091166,33.5928129863849,632,SC08A,Banneker High School,6015 Feldwood Rd,25/14,approved,active,
-84.5170199091166,33.5928129863849,633,SC08B,Banneker High School,6015 Feldwood Rd,25/14,approved,active,
-84.363662231504,34.0575159690665,642,RW12,Lebanon Church,11250 Crabapple Road,24/14,approved,active,
-84.624199595377,33.5569565270923,648,SC07B,Bear Creek Middle School,7415 Herndon Rd,33/14,approved,active,
-84.5275391762521,33.631029690121,649,SC17A,"Welcome All Park, Community House",4255 Will Lee Road,"34/14, 41/14",approved,active,
-84.5275391762521,33.631029690121,650,SC17B,"Welcome All Park, Community House",4255 Will Lee Road,"34/14, 41/14",approved,active,
-84.5275391762521,33.631029690121,651,SC17C,"Welcome All Park, Community House",4255 Will Lee Road,"34/14, 41/14",approved,active,
-84.389463176786,33.7972088948368,669,02W,Peachtree Christian Church,1580 Peachtree Street Nw,46/14,approved,active,
-84.389463176786,33.7972088948368,670,03F,Peachtree Christian Church,1580 Peachtree Street Nw,46/14,approved,active,
-84.389463176786,33.7972088948368,671,06L1,Peachtree Christian Church,1580 Peachtree Street Nw,46/14,approved,active,
-84.389463176786,33.7972088948368,672,06L2,Peachtree Christian Church,1580 Peachtree Street Nw,46/14,approved,active,
-84.3588359148002,33.8973687260419,679,SS14,Ridgeview Middle School,5340 South Trimble Rd,3/15,approved,active,
-84.4899139416357,33.6991251897314,681,11M,"Therrell, D.M. High School",3099 Panther Trail Sw,"5/15, 60/20",approved,active,
-84.3723432063577,33.6979872045891,682,01C,Dobbs Elementary School,2025 Jonesboro Rd Se,"1/15R, 56/20",approved,proposed,
-84.4719465842885,33.6376083820779,686,CP06A,Camp Truitt Senior Center,4320 Herschel Rd,14/15R  ,approved,active,
-84.4719465842885,33.6376083820779,687,CP06B,Camp Truitt Senior Center,4320 Herschel Rd,14/15R  ,approved,active,
-84.434703709565,33.8338957471695,688,08F2,Morris Brandon Primary Ctr. School,2845 Margaret Mitchell Dr,"21/08, 05/10, 7/15R",approved,active,
-84.4648579390131,33.6159446501952,689,CP084,Tracey Wyatt Recreation Center,2300 Godby Rd,6/15R,approved,active,
-84.4648579390131,33.6159446501952,690,CP081,Tracey Wyatt Recreation Center,2300 Godby Rd,15/15R,approved,active,
-84.4648579390131,33.6159446501952,691,CP083,Tracey Wyatt Recreation Center,2300 Godby Rd,15/15R,approved,active,
-84.3777085582497,33.8182091388612,694,07J,Peachtree Hills Recreation,308 Peachtree Hills Ave Ne,10/15,approved,active,
-84.339485815035,34.0900607401171,696,AP06,Alpharetta Crabapple Government Center,12624 Broadwell Rd,13/15,approved,active,
-84.3307318269007,34.0370117997813,700,AP03,Mimosa Elementary School,1550 Warsaw Rd,14/15,approved,active,
-84.4128532078997,33.7136669883406,709,12D,Perkerson Park Rec Center,770 Deckner Ave,18/15 ,approved,active,
-84.3364919479729,34.0904210620484,710,ML01B,Milton Library,855 Mayfield Rd,20/15 ,approved,active,
-84.2939010097745,34.0030862211415,713,RW20,East Roswell Library,2301 Holcomb Bridge Road,21/15,approved,active,
-84.5300617974602,33.7015934508521,716,11B,Ralph Bunche Middle School,1925 Niskey Lake Rd Sw,8/15,approved,active,
-84.491945116938,33.7356830244326,717,10B,West Manor Park,3240 West Manor Cir,7/15,approved,active,
-84.491945116938,33.7356830244326,718,10I,West Manor Park,3240 West Manor Cir,7/15,approved,active,
-84.4385473752863,33.7751130260891,721,03H,Grove Park Recreation Center,750 Francis Pl Nw,23/15,approved,active,
-84.4385473752863,33.7751130260891,722,03B,Grove Park Recreation Center,750 Francis Pl Nw,23/15,approved,active,
-84.4385473752863,33.7751130260891,723,09I,Grove Park Recreation Center,750 Francis Pl Nw,23/15,approved,active,
-84.4700030857422,33.8054004836194,724,09K,Northwest Library at Scotts Crossing,2489 Perry Blvd Nw,24/15,approved,active,
-84.4074214461284,33.7185077132821,727,12A,Metropolitan Library,1332 Metropolitan Pkwy Sw,26/15,approved,active,
-84.6640522449802,33.5304995381612,728,PA01,Palmetto Library,9111 Cascade Palmetto Hwy,27/15,approved,active,
-84.3637769982281,33.6686181234358,735,12M,South Atlanta High School,800 Hutchens Rd,"37/15, 52/20",approved,proposed,
-84.3620431395583,33.9655960232748,741,SS19B,North Annex,7741 Roswell Rd,36/15,approved,active,
-84.4648579390131,33.6159446501952,742,CP08A,Tracey Wyatt Recreation Center,2300 Godby Rd,1/16 ,approved,active,
-84.4157329844473,34.0827955010728,743,MP01,Mountain Park Community Center,100 Lakeshore Dr,2/16,approved,active,
-84.2925119146093,34.073739636525,747,AP10,Alpharetta Library,10 Park Plaza,5/16,approved,active,
-84.370749987514,33.7590864235321,748,02G,Helene S. Mills Senior Center,515 John Wesley Dobbs Ave NE,6/16,approved,active,
-84.5746057424618,33.6727122099875,767,SC20,Wolf Creek Library,3100 Enon Rd Sw,14/16,approved,active,
-84.3939885203938,33.682425546665,768,12H1,Cleveland Avenue School,2672 Old Hapeville Rd,"19/16, 54/20",approved,proposed,
-84.3939885203938,33.682425546665,769,12H2,Cleveland Avenue School,2672 Old Hapeville Rd,"19/16, 53/20",approved,proposed,
-84.4648579390131,33.6159446501952,770,SC10,Tracey Wyatt Recreation Center,2300 Godby Rd,21/16 ,approved,active,
-84.1861370631277,34.0606962417634,771,JC03A,Findley Oaks Elementary School,5880 Findley Chase Drive,22/16,approved,active,
-84.1861370631277,34.0606962417634,772,JC03B,Findley Oaks Elementary School,5880 Findley Chase Drive,22/16,approved,active,
-84.3333179227153,33.9742433467631,774,SS17,Temple Emanuel,1580 Spalding Dr,24/16,approved,active,
-84.5913821249743,33.6578317659456,779,SC15,The Enon Church,3550 Enon Rd,27/16,approved,active,
-84.435624021537,33.68244082287,781,EP02A,Jefferson Recreation Center,1431 Norman Berry Drive,20/16,approved,active,
-84.435624021537,33.68244082287,783,EP02C,Jefferson Recreation Center,1431 Norman Berry Drive,20/16,approved,active,
-84.4947666974652,33.6473480556311,786,EP04A,Brookview Elememtary Sch,3250 Hammarskjold Dr,28/16,approved,active,
-84.4762771514991,33.6777330852149,790,EP03A,St. Stephens Miss. Baptist Church,2670 Hogan Rd,30/16,approved,active,
-84.5973108332462,33.6511707939056,792,SC05D,Cliftondale Community House,4645 Butner Rd,1/17,approved,active,
-84.5973108332462,33.6511707939056,793,SC05E,Cliftondale Community House,4645 Butner Rd,1/17,approved,active,
-84.4836706887484,33.5954088778175,797,SC09A,Burdett Park Gym,2945 Burdett Rd,3/17 ,approved,active,
-84.4687811803059,33.5747823198811,803,SC23A,New Life Presbyterian Church,6600 Old National Hwy,6/17,approved,active,
-84.624199595377,33.5569565270923,805,SC07A,Bear Creek Middle School,7415 Herndon Rd,7/17,approved,active,
-84.624199595377,33.5569565270923,806,SC07C,Bear Creek Middle School,7415 Herndon Rd,7/17,approved,active,
-84.2666920235337,33.977343821315,817,RW21,Johns Creek Environmental Campus,8100 Holcomb Bridge Rd,15/17,approved,active,
-84.4037452322433,33.7540159790908,832,04J,Central United Methodist Ch,501 Mitchell St,"11/13R, 22/17",approved,active,
-84.5119491014635,33.6893961214928,835,11E1,William Walker Recreation Center,2405 Fairburn Rd Sw,24/17,approved,active,
-84.5119491014635,33.6893961214928,836,11E2,William Walker Recreation Center,2405 Fairburn Rd Sw,24/17,approved,active,
-84.4079832923828,33.6598586497676,838,HP01,Hoyt Smith Center,3444 N Fulton Ave,25/17,approved,active,
-84.2547613778356,34.0779500616622,839,AP12A,Alpharetta High School,3595 Webb Bridge Rd,26/17,approved,active,
-84.2547613778356,34.0779500616622,840,AP12B,Alpharetta High School,3595 Webb Bridge Rd,26/17,approved,active,
-84.2547613778356,34.0779500616622,841,AP12C,Alpharetta High School,3595 Webb Bridge Rd,26/17,approved,active,
-84.2547613778356,34.0779500616622,842,AP12D,Alpharetta High School,3595 Webb Bridge Rd,26/17,approved,active,
-84.312858325615,33.9952023158087,851,RW04,River Eves Elementary,9000 Eves Road,32/17,approved,active,
-84.3345232888506,34.0543135729262,852,RW05,Elkins Pointe Middle School,11290 Elkins Road,33/17,approved,active,
-84.3169066471535,34.0106725842902,853,RW17,"Jackson, Esther S Elem School",1400 Martin Rd,34/17,approved,active,
-84.524301315162,33.555176921099,859,UC033,Christian City - Sparks Auditorium,7290 Lester Rd,37/17,approved,active,
-84.524301315162,33.555176921099,860,UC035,Christian City - Sparks Auditorium,7290 Lester Rd,37/17,approved,active,
-84.524301315162,33.555176921099,863,SC21A,Christian City - Sparks Auditorium,7290 Lester Rd,37/17,approved,active,
-84.4765695400088,33.7474853404513,869,10H1,St Paul's Episcopal Church,306 Peyton Rd,45/17,approved,active,
-84.4765695400088,33.7474853404513,870,10H2,St Paul's Episcopal Church,306 Peyton Rd,45/17 ,approved,active,
-84.2532217919057,34.0609477776606,877,AP01E,Georgia State University - 2nd Floor,3775 Brookside Pkwy,43/17,approved,active,
-84.5636110707729,33.7032027939559,880,SC16A,Sandtown Park Recreation Center,5320 Campbellton Rd,47/17,approved,active,
-84.4492673885478,33.6557981233734,883,CP04A,College Park Auditorium,3631 Main Street,49/17,approved,active,
-84.4492673885478,33.6557981233734,884,CP04B,College Park Auditorium,3631 Main Street,49/17,approved,active,
-84.5862497914502,33.5250996144029,886,FA01C,Harvest Rain Church,8567 Bohannon Rd,"58/17, 2/18",approved,proposed,
-84.4719472466768,33.6376060829882,889,CP07C,Camp Truitt Senior Center,4320 Herschel Rd,50/17,approved,active,
-84.4719472466768,33.6376060829882,890,CP07E,Camp Truitt Senior Center,4320 Herschel Rd,50/17,approved,active,
-84.4719472466768,33.6376060829882,891,CP07F,Camp Truitt Senior Center,4320 Herschel Rd,50/17,approved,active,
-84.4416437479178,33.7637358778948,893,03A,Allen Temple AME Church,1625 Joseph E. Boone Blvd Nw,61/17,approved,active,
-84.4395846899426,33.7527295527573,894,04C,C. A. Scott Recreation Bldg,1565 M L King Jr Dr Sw,61/17,approved,active,
-84.4916274569987,33.7536976470116,898,10D,C.T. Martin Natatorium & Recreation Center,3201 M L King Jr Dr SW,1/18,approved,active,
-84.5142665279897,33.7550858499034,902,10A,The Kindezi School - West,286 Wilson Mill Road,4/18,approved,active,
-84.5002456379134,33.7695378055408,912,10E,Jackson Memorial Baptist Church,534 Fairburn Rd,"14/18, 25/19",approved,proposed,
-84.3939885203938,33.682425546665,918,12E2,Cleveland Avenue School,2672 Old Hapeville Rd,17/18,approved,active,
-84.3990581136686,33.7287552763504,922,12K,Pittman Park Rec Center,950 Garibaldi St,20/18,approved,active,
-84.2836173278792,34.1639345289139,923,ML03,Hopewell Baptist Church,15730 Hopewell Rd,26/12R,approved,active,
-84.3021888179856,34.0258101238226,926,RW06,Saint Mary's Orthodox Church,1950 Old Alabama Rd,23/18,approved,active,
-84.483238862159,33.5671378607504,929,SC11B,Creel Park,2775 Creel Road,24/18,approved,active,
-84.2336296913136,34.0373711818987,932,JC14,Dolvin Elementary School,10495 Jones Bridge Road,27/18,approved,active,
-84.483238862159,33.5671378607504,936,SC29B,Creel Park,2775 Creel Road,25/18,approved,active,
-84.2296219166866,34.0668087872395,941,AP09A,Webb Bridge Middle School,4455 Webb Bridge Rd,30/18,approved,active,
-84.2296219166866,34.0668087872395,942,AP09B,Webb Bridge Middle School,4455 Webb Bridge Rd,30/18,approved,active,
-84.2826312559056,34.0398326353442,943,AP01C,Haynes Bridge Middle School,10665 Haynes Bridge Rd,31/18,approved,active,
-84.2826312559056,34.0398326353442,944,AP01D,Haynes Bridge Middle School,10665 Haynes Bridge Rd,31/18,approved,active,
-84.2720983284992,34.0517041623997,946,AP01A,New Prospect Elementary,3055 Kimball Bridge Rd,"32/18, 118/20",approved,proposed,
-84.5166940087453,33.7734468060521,948,FC02,Aviation Community Cultural Center,3900 Aviation Cir Nw,2/19,approved,active,
-84.5636110707729,33.7032027939559,949,FC03,Sandtown Park Recreation Center,5320 Campbellton Rd,3/19,approved,active,
-84.3113284748867,34.0713769120457,951,AP02B,Wills Recreation Center,11925 Wills Rd,5/19,approved,active,
-84.3113284748867,34.0713769120457,953,AP022,Wills Recreation Center,11925 Wills Rd,5/19,approved,active,
-84.5022496932771,33.5762702186234,957,SC29A,S L Lewis Elementary School,6201 Connell Road,9/19,approved,active,
-84.5068309845844,33.768823981571,960,10P,Collier Park Recreation Center,3691 Collier Dr NW,12/19,approved,active,
-84.2763984840686,34.0843212286064,961,ML06A,Manning Oaks Elementary School,405 Cumming St,13/19,approved,active,
-84.2743892949156,34.119575153996,962,ML06B,Cambridge High School,2845 Bethany Bend,14/19,approved,active,
-84.6314306323844,33.6171567960789,964,SC13,Langston Hughes High School,7510 Hall Road,16/19,approved,active,
-84.5896797837372,33.6440294868025,965,SC05B,Cliftondale Church,4095 Stonewall Tell Rd,18/19,approved,active,
-84.5214858672632,33.5558102739417,968,UC031,Christian City Welcome Center,7345 Red Oak Rd,19/19,approved,active,
-84.5214858672632,33.5558102739417,969,UC032,Christian City Welcome Center,7345 Red Oak Rd,19/19,approved,active,
-84.3501140284105,33.9599530569658,970,SS20,Woodland Elem. School,1130 Spalding Dr,20/19,approved,active,
-84.3364919479729,34.0904210620484,972,ML01A,Milton Library,855 Mayfield Rd,1/19M,approved,active,
-84.3424888257284,34.1444027061888,973,ML02A,Birmingham Falls Elem,14865 Birmingham Hwy,2/19M,approved,active,
-84.3424888257284,34.1444027061888,974,ML02B,Birmingham Falls Elem,14865 Birmingham Hwy,2/19M,approved,active,
-84.2836173278792,34.1639345289139,975,ML07B,Hopewell Baptist Church,15730 Hopewell Rd,3/19M,approved,active,
-84.2798048765355,34.1020742200264,976,ML05,Cogburn Woods Elem School,13080 Cogburn Rd,4/19M,approved,active,
-84.3938041932945,33.7145879705303,978,01J,Louise Watley Library at Southeast Atlanta,1463 Pryor Road Sw,22/19,approved,active,
-84.479054265053,33.7897456893761,980,09B,Coretta Scott King Young Women's Academy,1190 Northwest Dr NW,28/19,approved,active,
-84.5073133122526,33.7235601612464,982,SC30A,Southwest Regional Library,3665 Cascade Rd,30/19,approved,active,
-84.5073133122526,33.7235601612464,983,SC30B,Southwest Regional Library,3665 Cascade Rd,30/19,approved,active,
-84.4241972069543,33.75407791293,985,03D,Washington Park Library,1116 M L King Jr Dr Sw,32/19,approved,active,
-84.4241972069543,33.75407791293,986,04A,Washington Park Library,1116 M L King Jr Dr Sw,32/19,approved,active,
-84.4067290895441,33.7490391236297,987,04B,Flipper Temple AME Church,580 Atlanta Student Movement Blvd,33/19,approved,active,
-84.424938794072,33.7825797338781,990,03M,M28 Church,1150 Niles Avenue,36/19,approved,active,
-84.4168654345702,33.7490325900724,991,04W,Morehouse College-Archer Hall,876 Atlanta Student Movement Blvd,37/19,approved,active,
-84.4948527456033,33.7506867174709,992,10R,Concord Baptist Church,3270 Boulder Park Dr SW,41/19,approved,active,
-84.4616669832531,33.7052694923985,995,11G,Adams Park Library,2231 Campbellton Rd SW,39/19,approved,active,
-84.4616669832531,33.7052694923985,996,12I,Adams Park Library,2231 Campbellton Rd SW,39/19,approved,active,
-84.3744112073907,33.9243015393576,997,SS06,Sandy Springs Library,395 Mount Vernon Hwy Ne,40/19,approved,active,
-84.357789030406,34.0252850613378,999,RW11A,Roswell Library,115 Norcross St,42/19,approved,active,
-84.3521590950338,33.8963764815537,1000,SS11A,Church Of The Redeemer,5185 Peachtree Dunwoody Rd,43/19,approved,active,
-84.4410067526685,33.7326790156367,1009,04X1,Tuskegee Airmen Academy,1626 Westhaven Dr SW,23/19,approved,proposed,
-84.4410067526685,33.7326790156367,1010,04X2,Tuskegee Airmen Academy,1626 Westhaven Dr SW,23/19,approved,proposed,
-84.4631233229045,33.7347973437494,1012,10K,Beecher Hills Elementary School,2257 Bollingbrook Dr SW,26/19,approved,active,
-84.4631233229045,33.7347973437494,1013,11H,Beecher Hills Elementary School,2257 Bollingbrook Dr SW,26/19,approved,active,
-84.4263740294849,33.909735314684,1014,SS16,Heard Ferry Elementary School,6151 Powers Ferry Rd NW,3/20,approved,active,
-84.3876866856484,33.7341184278717,1015,01G,FanPlex,768 Hank Aaron Dr SE,2/20,approved,active,
-84.4417136080896,33.6827641078104,1016,EP01A,East Point First Mallalieu UMC,2651 Church St,4/20,approved,active,
-84.2103670435749,34.0482175292767,1024,JC09,Taylor Road Middle School,5150 Taylor Road,10/20,approved,active,
-84.1960230096777,34.0224286686087,1025,JC11,Johns Creek High School,5575 State Bridge Rd,11/20,approved,active,
-84.2960279220874,34.0099480669312,1027,RW22A,Hillside Elem School,9250 Scott Rd,13/20,approved,active,
-84.5152577823112,33.5982172575495,1029,UC01A,Feldwood Elem School,5790 Feldwood Rd,15/20,approved,active,
-84.5152577823112,33.5982172575495,1030,UC01B,Feldwood Elem School,5790 Feldwood Rd,15/20,approved,active,
-84.5152577823112,33.5982172575495,1031,UC01C,Feldwood Elem School,5790 Feldwood Rd,15/20,approved,active,
-84.5152577823112,33.5982172575495,1032,UC01D,Feldwood Elem School,5790 Feldwood Rd,15/20,approved,active,
-84.5152577823112,33.5982172575495,1033,UC01E,Feldwood Elem School,5790 Feldwood Rd,15/20,approved,active,
-84.4134637891358,33.7631261294428,1040,03L,Simpson Street Church Of Christ,800 Joseph E. Boone Blvd Nw,20/20,approved,active,
-84.3747367706862,33.7688960426539,1045,02C,Central Park Recreation Center,400 Merritts Ave NE,9/20,approved,active,
-84.3747367706862,33.7688960426539,1046,05F,Central Park Recreation Center,400 Merritts Ave NE,9/20,approved,active,
-84.5073133122526,33.7235601612464,1047,SC14A,Southwest Regional Library,3665 Cascade Rd,26/20,approved,active,
-84.3629193772938,34.0196121905452,1057,RW02,Independence High School,791 Mimosa Blvd,35/20,approved,active,
-84.4128532078997,33.7136669883406,1058,12G,Perkerson Park Rec Center,770 Deckner Ave,30/20,approved,active,
-84.3915201565751,33.9351260300517,1062,SS18A,Abernathy Arts Center,254 Johnson Ferry Rd,39/20,approved,active,
-84.3915201565751,33.9351260300517,1063,SS18B,Abernathy Arts Center,254 Johnson Ferry Rd,39/20,approved,active,
-84.3915201565751,33.9351260300517,1064,SS05,Abernathy Arts Center,254 Johnson Ferry Rd,38/20,approved,active,
-84.3744112073907,33.9243015393576,1065,SS31,Sandy Springs Library,395 Mount Vernon Hwy Ne,40/20,approved,active,
-84.3876866856484,33.7341184278717,1066,01F,FanPlex,768 Hank Aaron Dr SE,,approved,active,
-84.434703709565,33.8338957471695,1068,09F,Morris Brandon Primary Ctr. School,2845 Margaret Mitchell Dr,,approved,active,
-84.3692945051621,33.7820112755181,1074,02J,Park Tavern,500 10th St NE,,approved,active,
-84.3692945051621,33.7820112755181,1075,02K,Park Tavern,500 10th St NE,,approved,active,
-84.3692945051621,33.7820112755181,1076,06G,Park Tavern,500 10th St NE,,approved,active,
-84.3727768959131,33.7885634258805,1079,02A,Piedmont Park Magnolia Hall,1320 Monroe Dr,41/20,approved,active,
-84.3851817503227,33.7663804103513,1081,02B,Saint Luke's Episcopal Church,435 Peachtree St NE,42/20,approved,active,
