X,Y,OBJECTID,Precinct,Location,Address,Proposal,status,RetireStatus,FeatureID
-84.5139418879657,33.6714567318328,1160,11E3,Deerwood Elementary School,3070 Fairburn Rd SW,86/20,approved,active,
-84.3108722767538,34.0739542898029,1161,AP021,American Legion Alpharetta,201 Wills Rd,87/20,approved,active,
-84.2395580342179,34.0757165987879,1162,AP05,Creek View Elementary School,3995 Webb Bridge Road,88/20,approved,active,
-84.2721686694149,34.0755261007964,1163,AP01B,St. James Um Church,3000 Webb Bridge Rd,89/20,approved,active,
-84.2721686694149,34.0755261007964,1164,AP07B,St. James Um Church,3000 Webb Bridge Rd,90/20,approved,active,
-84.3006909912487,34.0826977242156,1165,AP07A,Alpharetta Elem School,192 Mayfield Rd,91/20,approved,active,
-84.2321343642229,34.053973475456,1166,AP14,Ocee Elem School,4375 Kimball Bridge Rd,92/20,approved,active,
-84.2336296913136,34.0373711818987,1167,JC15,Dolvin Elementary School,10495 Jones Bridge Road,93/20,approved,active,
-84.4493769082584,33.6554977789897,1168,CP011,College Park library,3647 Main Street,94/20,approved,active,
-84.4189222817158,33.6911334708583,1169,EP02B,Impact Church,2323 Sylvan Road,95/20,approved,active,
-84.4189222817158,33.6911334708583,1170,EP02D,Impact Church,2323 Sylvan Road,95/20,approved,active,
-84.4189222817158,33.6911334708583,1171,EP02E,Impact Church,2323 Sylvan Road,95/20,approved,active,
-84.5265763219313,33.6375358973485,1172,EP04B,Camp Creek Middle School,4345 Welcome All Ter,96/20,approved,active,
-84.2799927392156,34.0204887029607,1173,JC18,Mount Pisgah United Methodist Church,2850 Old Alabama Rd,97/20,approved,active,
-84.2517322736347,34.0112411854874,1174,JC19,Barnwell Elementary School,9425 Barnwell Rd,98/20,approved,active,
-84.2799841721524,34.1010879592213,1175,ML04,Hopewell Middle School,13060 Cogburn Rd,99/20,approved,active,
-84.3616896067862,34.0402635860276,1176,RW01,Crabapple Middle School,10700 Crabapple Rd,100/20,approved,active,
-84.3689061407709,34.0376531898458,1177,RW10,Roswell North Elementary School,10525 Woodstock Rd,101/20,approved,active,
-84.3828402126398,34.0632021053881,1178,RW09,Roswell High School,11595 King Road,102/20,approved,active,
-84.5195387458386,33.587411255495,1179,SC08C,Gladys S Dennard Library at South Fulton   ,4055 Flat Shoals Rd,103/20,approved,active,
-84.5195387458386,33.587411255495,1180,SC08D,Gladys S Dennard Library at South Fulton   ,4055 Flat Shoals Rd,103/20,approved,active,
-84.5195387458386,33.587411255495,1181,SC08E,Gladys S Dennard Library at South Fulton   ,4055 Flat Shoals Rd,103/20,approved,active,
-84.5195387458386,33.587411255495,1182,SC08F,Gladys S Dennard Library at South Fulton   ,4055 Flat Shoals Rd,103/20,approved,active,
-84.5195387458386,33.587411255495,1183,SC08G,Gladys S Dennard Library at South Fulton   ,4055 Flat Shoals Rd,103/20,approved,active,
-84.5195387458386,33.587411255495,1184,SC08H,Gladys S Dennard Library at South Fulton   ,4055 Flat Shoals Rd,103/20,approved,active,
-84.4845859190966,33.5949498940984,1185,SC09C,McNair Middle School,2800 Burdett Rd,104/20,approved,active,
-84.4845859190966,33.5949498940984,1186,SC27,McNair Middle School,2800 Burdett Rd,104/20,approved,active,
-84.3644564665419,33.9569179988448,1187,SS26,North Springs High School,7447 Roswell Rd,105/20,approved,active,
-84.3824547730482,33.9498269880329,1188,SS02A,Spalding Drive Elem School,130 West Spalding Drive Ne,106/20,approved,active,
